name,vote_count,vote_average,revenue
XM2 Productions,3572.0,6.8,407711549.0
Disney Double Dare You (DDY),4903.0,6.7,407602906.0
Bagdasarian Productions,950.0,5.4,402253319.0
Color Force,3487.125,6.675,400511811.5
Sean Bailey Productions,2895.0,6.3,400062763.0
Esperanto Filmoj,4500.5,7.449999999999999,399825465.5
Hurwitz Creative,2053.0,5.666666666666667,399824506.0
Bad Hat Harry Productions,3728.818181818182,6.454545454545454,398761877.1818182
MI 3 Film,2062.0,6.5,397850012.0
The Fourth Production Company Film Group,2062.0,6.5,397850012.0
Fairview Entertainment,2078.0,6.433333333333334,395780286.6666667
Twilight Productions,3688.0,5.8,392616625.0
Kurtzman/Orci,3168.5,7.050000000000001,392370138.5
Home Box Office (HBO),605.5,6.1,391998415.0
thinkfilm,2585.0,6.533333333333334,390861465.3333333
Monarchy Enterprises S.a.r.l.,4667.0,6.35,386824179.5
MavroCine Pictures GmbH & Co. KG,4574.0,7.4,385680446.0
Fuzzy Door Productions,3667.5,6.25,383195451.5
Hollywood Gang Productions,3765.0,6.55,380095235.0
Kennedy Miller Productions,9629.0,7.3,378858340.0
Maverick Films,1804.4,5.5,377710048.6
Ingenious Film Partners,2672.190476190476,6.3047619047619055,376470309.71428573
One Race Productions,2480.8,6.6,375791144.4
Patalex III Productions Limited,7511.0,7.5,374218673.0
Scholastic Productions,1347.0,5.8,372234864.0
Roth Films,2398.8888888888887,6.166666666666668,372125992.0
Saints LA,3045.0,5.4,371876278.0
The Halcyon Company,2496.0,5.9,371353001.0
Viz Media,4979.0,7.6,370541256.0
1492 Pictures,2708.5,6.271428571428571,369812913.0714286
Artemple - Hollywood,6023.0,7.9,369330363.0
Amblin Entertainment,2134.4,6.44,369032637.16
MPH Entertainment Productions,686.0,6.2,368744044.0
Ontario Film Development Corporation,686.0,6.2,368744044.0
Universal Studios,2634.625,6.5125,368549978.5
Moving Picture Company (MPC),2650.25,6.05,367382393.9166667
Ludlum Entertainment,2905.5,7.25,365662177.5
Ronald Shusett/Gary Goldman,2663.0,7.1,358372926.0
Flynn Picture Company,2362.0,5.8,356945416.0
Riche Productions,2488.0,5.5,356743061.0
Village Roadshow Films North America,2488.0,5.5,356743061.0
Jerry Bruckheimer Films,2141.35,6.375,356739372.55
Panorama Films,2183.0,6.5,356613439.0
Marvel Enterprises,2667.3333333333335,5.855555555555556,355937977.0555556
Sunswept Entertainment,1785.75,6.25,355294911.0
Kemp Company,3917.0,7.7,352114312.0
Kerner Entertainment Company,737.3333333333334,5.6000000000000005,351727833.6666667
A&E Television Networks,3885.0,7.3,351040419.0
Spectrum Films,3885.0,7.3,351040419.0
Rovio Mobile,1048.0,5.9,349779543.0
Rovio Entertainment,1048.0,5.9,349779543.0
Sony Pictures Imageworks (SPI),1048.0,5.9,349779543.0
Rovio Animation,1048.0,5.9,349779543.0
Canlaws Productions,3889.0,6.7,347234916.0
Captivate Entertainment,2534.5,5.95,346028926.0
China Film Group,1570.0,6.0,344904750.0
International Traders,4072.5,6.85,343969498.0
Team Todd,2372.4,6.540000000000001,343929006.8
Sneaky Shark,2636.0,6.6,343471816.0
Perfect Storm Entertainment,2636.0,6.6,343471816.0
Kontsept Film Company,2424.0,6.419999999999999,343372383.4
Walt Disney Pictures,1975.3368421052633,6.398947368421053,340539569.50526315
Right Coast Productions,1512.0,6.6,340487652.0
Andalasia Productions,1512.0,6.6,340487652.0
Junction Entertainment,1760.6666666666667,6.133333333333333,340032934.6666667
Legendary Pictures,3470.9210526315787,6.434210526315789,338894812.3947368
Radiant Productions,1348.0,6.2,334947102.0
Latina Pictures,3065.75,6.5,334846019.5
Down Productions,3422.3333333333335,6.6000000000000005,334754653.0
Skydance Productions,2700.9,6.45,332898039.8
Legendary East,1465.0,5.8,331957105.0
Kava Productions,1465.0,5.8,331957105.0
Le Vision Pictures,1465.0,5.8,331957105.0
Media Magik Entertainment,2275.5,5.5,331529056.5
Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,3040.0,5.5,330579719.0
Nancy Tenenbaum Films,1743.0,6.6,330444045.0
Nimar Studios,2745.75,6.300000000000001,326598835.75
Taken 3,2225.0,6.1,325771424.0
Warner Animation Group,1916.5,7.1,325769985.0
Wigram Productions,4053.3333333333335,7.033333333333334,322262929.3333333
Di Bonaventura Pictures,1960.9444444444443,6.227777777777778,322159615.9444444
MFPV Film,1495.5,6.5,320987409.0
warner bross Turkey,2018.0,7.0,320170008.0
Soho VFX,2018.0,7.0,320170008.0
Zehnte Babelsberg,6598.0,7.9,319131050.0
Visiona Romantica,6598.0,7.9,319131050.0
Industrial Light & Magic (ILM),1180.0,4.7,318502923.0
M Productions,5607.5,7.35,318082798.5
Disruption Entertainment,1645.5,5.825,316950372.25
Skydance Media,2718.6666666666665,5.8999999999999995,315407143.0
Atlas Entertainment,2379.3636363636365,5.9363636363636365,314582086.6363636
Nickelodeon Animation Studios,733.0,5.7,311594032.0
Genre Films,3343.0,6.3500000000000005,311469226.3333333
Dreamworks Pictures,1092.0,5.5,310650585.0
Left Tackle Pictures,1626.0,7.2,309208309.0
Jerry Weintraub Productions,2089.3333333333335,6.3999999999999995,309161585.0
DC Comics,3587.0,6.613333333333333,307365429.73333335
Centropolis Entertainment,1673.888888888889,5.711111111111111,307195118.4444444
Donners' Company,2985.153846153846,6.523076923076924,306977625.9230769
Storyline Entertainment,695.0,6.9,306776732.0
Producers Circle,695.0,6.9,306776732.0
Golden Mean,1524.0,6.4,305875730.0
Origo Film Group,3519.0,5.2,304654182.0
Wanda Pictures,4134.0,6.7,303144152.0
"Furia de Titanes II, A.I.E.",1459.0,5.5,301000000.0
"Sommers Company, The",1674.0,6.0,300257475.0
Legend3D,1782.0,6.5,299370084.0
Wardour Street Pictures,2749.0,6.6,299268508.0
Evergreen Media Group,2258.3333333333335,6.633333333333333,297814654.0
RatPac-Dune Entertainment,2610.866666666667,6.466666666666666,297026662.2
Gratitude International,997.0,5.9,296655431.0
Moving Pictures,997.0,5.9,296655431.0
Eric's Boy,997.0,5.9,296655431.0
Scope Pictures,3213.0,6.5,296485719.0
Genetics Productions,4172.0,6.8,296339527.0
Springwood Productions,4172.0,6.8,296339527.0
Whamaphram Productions,519.0,5.1,292817841.0
Media Asia Films,4455.0,7.9,289847354.0
Bernd Eichinger Productions,2648.0,5.4,289047763.0
Motion Picture THETA Produktionsgesellschaft,2873.0,7.2,288500217.0
Columbus 81 Productions,1208.0,5.7,287594577.0
Liveplanet,1375.0,6.0,287553595.0
Monolith Pictures (III),4862.0,6.4,286168572.0
French Tax Credit,1744.0,6.0,278731369.0
Cineroma SRL,1744.0,6.0,278731369.0
Birnbaum/Barber,1744.0,6.0,278731369.0
Cruel and Unusual Films,2899.8571428571427,6.542857142857144,277216749.14285713
Sony Pictures Animation,1339.7,6.110000000000001,277117118.4
M6,3334.5,6.65,276300996.0
M6 Films,3334.5,6.65,276300996.0
Prana Studios,1590.5,6.05,275614275.0
Big Screen Productions,2976.4285714285716,6.3,274222946.0714286
TSG Entertainment,3238.969696969697,6.369696969696969,274193380.93939394
Don Simpson/Jerry Bruckheimer Films,1588.0,6.3,273339556.0
Bullwinkle Studios,861.0,6.7,272912430.0
Classic Media Productions,861.0,6.7,272912430.0
Vincent Newman Entertainment,3053.0,6.8,269994119.0
Slap Happy Productions (II),3053.0,6.8,269994119.0
Double Nickel Entertainment,3181.0,7.8,269958228.0
Matten Productions,3181.0,7.8,269958228.0
Volcano Films,1957.0,5.6,268031828.0
Apparatus Productions,2987.5,6.550000000000001,267196452.0
Oasis Films,218.0,4.6,266586800.0
Toho Company,1623.0,5.35,266039682.5
Platinum Dunes,1567.625,5.90625,265729983.375
Radical Studios,3284.5,6.0,264784286.0
Hasbro,1977.25,5.574999999999999,264769131.5
NeoReel,1992.3333333333333,5.8,263203096.33333334
Pink Machine,1583.0,5.9,261930431.0
Four By Two Productions,1617.0,6.5,261572744.0
Parkes/MacDonald Productions,2342.714285714286,6.6571428571428575,260633147.14285713
Overbrook Entertainment,1950.3076923076924,6.461538461538462,258952247.46153846
Mid Atlantic Films,2536.5714285714284,5.942857142857143,258789086.7142857
Ringerike Zweite Filmproduktion,2583.0,6.4,258270008.0
Mediastream Vierte Film GmbH & Co. Vermarktungs KG,2449.0,6.45,257478613.0
Weed Road Pictures,1831.5555555555557,6.411111111111111,257062671.1111111
Cruise/Wagner Productions,1304.0,6.340000000000001,256575642.7
Chernin Entertainment,2535.2727272727275,6.7,256380915.8181818
Tim Burton Productions,2132.3846153846152,6.515384615384615,255464090.92307693
Everyman Pictures,1096.5,5.925000000000001,254539949.25
Mostow/Lieberman Productions,1432.0,5.800000000000001,253589447.5
WV Films IV,2126.5,6.9,250321840.5
The Kennedy/Marshall Company,1691.375,6.637499999999999,249219291.75
Sony,936.0,6.4,248384621.0
Limited Edition Productions Inc.,1994.0,6.9,248118121.0
Blind Wink,2094.0,6.6,245724603.0
Gama Entertainment Partners,984.0,5.8,245623848.0
Green Hat Films,2984.0,6.483333333333333,245623670.66666666
Dan Curtis Productions,2383.0,5.7,245527149.0
Animal Logic,1326.0,6.3999999999999995,245260200.0
Digital Image Associates,1535.0,6.699999999999999,243628529.0
Dune Entertainment,1888.9298245614036,5.970175438596493,243449874.78947368
Hypnotic,2789.3333333333335,6.8,241588542.33333334
Original Film,1796.28125,5.928125,241208611.34375
Ubisoft,2776.0,5.4,240697856.0
Ubisoft Motion Pictures,2776.0,5.4,240697856.0
DMC Film,2776.0,5.4,240697856.0
Alpha Pictures,2776.0,5.4,240697856.0
Dino De Laurentiis Company,820.5,6.25,239679341.5
Babieka,2430.5,5.9,238593075.0
"Bedford Falls Company, The",1033.0,6.966666666666666,238476641.66666666
Flashlight Films,2106.0,7.0,238470033.0
The Department of Trade and Industry of South Africa,2192.5,6.199999999999999,238409805.5
C-2 Pictures,1180.0,5.25,236814739.0
Stanley Kubrick Productions,2011.0,6.8,235926552.0
Lin Pictures,2378.25,6.5249999999999995,235577531.5
Atomic Monster,1596.0,6.65,234519421.5
Dentsu Inc.,1716.0,5.7,233377268.0
Earth Canada Productions,1057.0,5.2,233093859.0
Yellow Bird,2479.0,7.2,232617430.0
Ground Control,2479.0,7.2,232617430.0
Feigco Entertainment,2396.5,6.1,232406864.0
Loumolo & Co.,1158.0,6.0,231449203.0
3 Art Entertainment,1837.0,6.6,230884728.0
Branded Entertainment/Batfilm Productions,1837.0,6.6,230884728.0
Levantine Films,2178.0,7.8,230698791.0
Tiger Aspect Productions,682.0,6.1,229736344.0
Ghostcorps,2203.0,5.3,229147509.0
Pascal Pictures,2203.0,5.3,229147509.0
Vengeance Productions Pty. Ltd.,1754.0,5.2,228738393.0
GH One,1754.0,5.2,228738393.0
Blinding Edge Pictures,1747.4444444444443,5.822222222222222,228496737.33333334
All Pictures Media,4444.0,7.2,226830568.0
Ingenious Media,2466.764705882353,6.188235294117646,226715972.70588234
TCF Vancouver Productions,2079.0,6.0,226497209.0
United Plankton Pictures,663.0,6.2,225877912.0
LOVEFiLM International,2302.0,6.8,222809600.0
Celador Films,1876.5,7.5,222349226.0
Ardustry Entertainment,2786.0,6.4,221817293.0
"Kennedy/Marshall Company, The",1587.6153846153845,6.4692307692307685,221513887.07692307
Twentieth Century Fox Film Corporation,1711.410447761194,6.067164179104478,219717894.35820895
Waverly Films,994.25,6.575,218641441.25
Edge City,1476.0,7.0,217764291.0
Top Cow Productions,2160.0,6.300000000000001,217754402.0
K/O Camera Toys,2275.0,6.0,217459156.0
A Band Apart,5250.0,7.766666666666667,217413170.33333334
Red Wagon Entertainment,2557.4444444444443,6.4444444444444455,215714970.0
Eidos Interactive,1839.0,5.6,215604364.0
Warner Bros.,1990.20202020202,6.355555555555556,215523224.45454547
EDKO Film,949.0,7.2,213525736.0
Columbia Pictures Film Production Asia,949.0,7.2,213525736.0
Asia Union Film & Entertainment Ltd.,949.0,7.2,213525736.0
United China Vision,949.0,7.2,213525736.0
Zoom Hunt International Productions Company Ltd.,949.0,7.2,213525736.0
The Zanuck Company,1959.6666666666667,6.599999999999999,213442565.83333334
Walt Disney Feature Animation,1114.8333333333333,6.666666666666667,213235297.0
Lucamar Productions,1688.0,5.6,212902372.0
KOH,1187.0,6.6,211643158.0
Inside Track 3,1187.0,6.6,211643158.0
Reino del Cielo,1187.0,6.6,211643158.0
Calle Cruzada,1187.0,6.6,211643158.0
BK,1187.0,6.6,211643158.0
Babelsberg Film,1419.0,5.925000000000001,211620415.5
Wintergreen Productions,2034.0,6.266666666666666,211031378.16666666
New Zealand Post Digital and Visual Effects Grant,3451.0,7.3,210819611.0
District 9,3451.0,7.3,210819611.0
Block / Hanson,3451.0,7.3,210819611.0
Callahan Filmworks,938.0,6.1,210503010.5
WV Films II,2032.0,6.566666666666666,210436273.0
A113,2904.0,6.2,209154322.0
Huahua Media,1964.6666666666667,6.166666666666667,208379305.0
Compulsion Inc.,573.0,6.9,207515725.0
Splendid Medien AG,573.0,6.9,207515725.0
Mediastream Film GmbH & Co. Productions KG,3485.0,6.6,207283925.0
Parkes+MacDonald Image Nation,1571.3333333333333,6.283333333333334,207268610.66666666
Aperture Entertainment,781.5,5.15,206761855.0
Ex3 Productions,1830.0,6.1,206172544.0
Nu Boyana Film Studios,1656.0,5.8,205754447.0
Gerard Butler Alan Siegel Entertainment,1656.0,5.8,205754447.0
LHF Film,1656.0,5.8,205754447.0
ImageMovers,1501.3636363636363,6.554545454545454,205402317.0909091
Brandywine Productions,2383.6666666666665,5.6000000000000005,205383690.33333334
Trigger Street Productions,1416.3333333333333,6.1000000000000005,205027067.33333334
Red Granite Pictures,2377.25,6.4,205005960.25
Green Hills Productions,827.0,6.1,203567857.0
RVK Studios,1805.0,6.7,203427584.0
Cruise-Wagner Productions,1100.0,6.5,203388341.0
Electronic Arts,1560.0,6.1,203277636.0
China Film Co-Production Corporation,973.0,6.824999999999999,203139604.75
EMJAG Productions,3563.0,6.75,202892854.5
DreamWorks SKG,1327.409090909091,6.484848484848484,202818072.4090909
Columbia Pictures,1594.2279411764705,6.13014705882353,202635372.88235295
JC 23 Entertainment,639.0,5.9,202026112.0
Broken Chair Flickz,1381.0,7.7,201634991.0
Crucial Films,1381.0,7.7,201634991.0
Picnic Basket,228.0,5.2,201584141.0
Rhythm and Hues,228.0,5.2,201584141.0
Brownstone Productions,2153.5,7.05,201428310.0
Forward Pass,1300.0,6.166666666666667,201389999.66666666
Achte Babelsberg Film,1195.0,6.7,200276000.0
Stillking Films,1782.2,6.409999999999999,200250941.0
China Film Group Corporation (CFGC),1178.5,6.15,199952476.5
CatchPlay,2576.5,6.6,199442207.0
Rekall Productions,2540.0,5.8,198802074.0
Total Recall,2540.0,5.8,198802074.0
Studio Babelsberg,1814.3636363636363,6.440909090909091,197953314.86363637
Cott Productions,1379.5,6.0,197410379.0
Walden Media,1098.7333333333333,6.14,197181250.06666666
LBI Productions,1467.0,6.2,196781193.0
Grive Productions,2573.6666666666665,6.466666666666666,196498739.0
Hofflund/Polone,1303.0,6.6,196397415.0
Indelible Productions,1303.0,6.6,196397415.0
Playtone,955.9090909090909,6.1000000000000005,195819992.63636363
Seed Productions,2143.0,5.95,195402081.0
Simon Kinberg Productions,3317.0,6.5,195270124.0
Alpha Core,3317.0,6.5,195270124.0
Alberto Grimaldi Productions,1964.0,7.1,193772504.0
Giant Pictures,2351.0,5.35,193310816.0
Bazmark Films,1981.6666666666667,7.0,193269285.0
S.O.A.F. Productions,447.0,5.9,193000000.0
Lonetree Entertainment,2997.0,7.1,192330738.0
Wind Dancer Productions,673.0,6.3,191659088.5
21 Laps Entertainment,1704.7142857142858,6.199999999999998,190730065.14285713
Stephen J. Cannell Productions,2944.0,6.45,189412062.0
WV Films III,942.0,5.866666666666667,188716335.33333334
33andOut Productions,3375.0,7.0,188441614.0
Cannell Studios,3375.0,7.0,188441614.0
JHF Productions,3375.0,7.0,188441614.0
Internationale Filmproduktion Stella-del-Sud Second,1707.0,6.5,188072649.0
Shady Acres Entertainment,1234.0,6.025,187100061.0
Catfish Productions,732.0,7.3,186438883.0
K/O Paper Products,2888.6,6.459999999999999,186205263.2
Paramount Pictures,1438.2911392405063,6.084177215189873,185568226.2721519
Section Eight,1346.875,6.4125000000000005,184746687.125
Internationale Filmproduktion Blackbird Dritte,2157.3333333333335,6.333333333333333,184389391.0
Peninsula Films,1426.0,6.3,183946345.5
Huayi Brothers Pictures,1287.0,6.3,183936074.0
Cruella Productions,327.0,5.1,183611771.0
Fellah Pictures,889.0,5.8,183474602.0
Misha Films,1148.0,5.5,183018522.0
Doom Buggy Productions,481.0,5.1,182290266.0
Blue Tulip Productions,2123.5,7.0,181866285.5
Irwin Allen Productions,594.0,5.5,181674817.0
Synthesis Entertainment,594.0,5.5,181674817.0
Generalitat Valenciana,2071.0,7.0,180274123.0
Telecinco Cinema,2071.0,7.0,180274123.0
Institut Valenciã de Cinematografia (IVAC),2071.0,7.0,180274123.0
Mediaset España,2071.0,7.0,180274123.0
Appian Way,2635.8,6.69,180171043.6
Red Om Films,574.0,5.699999999999999,179750354.5
JD Productions,1181.0,5.7,179265204.0
Major Studio Partners,1324.7142857142858,5.9142857142857155,179225049.0
Sikelia Productions,3568.25,7.3500000000000005,179179225.75
Tribeca Productions,744.4444444444445,5.611111111111111,178083919.7777778
Internationale Filmproduktion Blackswan,988.0,6.2,177259441.0
Ad Hominem Enterprises,956.0,6.7,177243185.0
Phoenix Film Partners,1737.0,6.2,177238796.0
Black Label Media,2623.6666666666665,7.233333333333334,177146702.66666666
Joseph M. Singer Entertainment,422.0,4.9,176104344.0
Universal Pictures,1330.7908163265306,6.2122448979591836,175772560.49489796
Pandemonium,3294.0,7.8,175302354.0
Demarest Media,3294.0,7.8,175302354.0
Permut Presentations,3294.0,7.8,175302354.0
Atmosphere Entertainment MM,1701.857142857143,6.114285714285714,175067398.14285713
Village Roadshow Pictures,1548.3376623376623,6.125974025974026,174503923.93506494
St. Petersburg Clearwater Film Commission,1655.5,6.6,174455126.0
Chartoff Winkler Productions,1963.0,7.3,173567581.0
Amblin Partners,1837.0,6.2,173185859.0
Cattleya,545.0,6.7,173013509.0
Outlaw Productions,303.0,5.5,172855065.0
Tree Line Films,1175.0,6.7,172795178.0
Parallel Zide,871.5,5.65,172027391.0
Film Rites,1427.6666666666667,6.466666666666668,171982016.66666666
Loofah Productions,795.0,5.8,171963386.0
GK Films,1844.3076923076924,6.376923076923077,171873098.15384614
Charenton Productions Limited,1241.0,5.6,171183863.0
Lonlink Productions,1241.0,5.6,171183863.0
Kut Productions,1241.0,5.6,171183863.0
Liberty Pictures,2344.0,7.4,170877916.0
AR-TL,661.0,5.6,170268750.0
Zookeeper Productions,509.0,5.3,169852759.0
Imagine Entertainment,1024.0740740740741,6.274074074074075,169675274.92592594
Toho-Towa,1327.25,6.2,169153667.25
Silver Pictures,1707.1,6.285000000000001,168687710.3
Dayday Films,2364.0,6.133333333333333,168662603.0
Constantin Film.,2322.0,4.4,167977596.0
Millbrook Farm Productions,1193.0,6.3,167805466.0
Prospect Park,1193.0,6.3,167805466.0
WR Universal Group,957.0,5.6,167298192.0
Pacifica Film,957.0,5.6,167298192.0
TIK Films,1588.8,5.92,166749625.4
Super Cool ManChu,4576.0,7.7,166554230.5
Brad Grey Pictures,881.75,5.725,165586895.25
Bottom of the Ninth Productions,1063.0,6.5,165335153.0
BrownHouse Productions,1063.0,6.5,165335153.0
World Wrestling Entertainment (WWE),802.0,5.3,165333180.0
Zucker/Netter Productions,839.0,6.65,165104154.5
Iron Horse Entertainment (II),1229.3333333333333,6.2,165033788.33333334
New Line Cinema,1271.1698113207547,6.220754716981133,164992981.1226415
Malpaso Productions,1474.2307692307693,6.915384615384616,164541259.0
Global Entertainment Productions GmbH & Company Medien KG,526.0,5.825,164302391.25
Foqus Arte Digital,494.0,5.7,163794509.0
Motion Picture ETA Produktionsgesellschaft,494.0,5.7,163794509.0
Metropolis Films,494.0,5.7,163794509.0
Ott Medien,337.0,5.3,163733697.0
MVL Incredible Productions,3086.0,6.1,163712074.0
DW Studios,1246.0,6.7,163670000.0
UTV Motion Pictures,968.0,4.9,163403799.0
Film 44,1664.6666666666667,6.7,163303460.66666666
Motion Picture JOTA Produktions,400.0,6.2,162944923.0
Gracie Films,972.75,6.225,162395693.25
Pin High Productions,2358.0,5.9,162360636.0
Shanghai Film Group,1843.0,5.3,162146076.0
Paramount Animation,726.0,5.783333333333334,161877276.33333334
Many Rivers Productions,3888.0,7.1,161849455.0
Boy of the Year,3888.0,7.1,161849455.0
Perfect World Pictures,1345.6666666666667,5.966666666666666,161771034.66666666
Solana Films,759.8,5.58,161150402.8
RatPac Entertainment,1904.4285714285713,6.299999999999999,161123204.7142857
Internationale Filmproduktion Eagle,1555.0,6.5,160388063.0
UW4 Productions,1885.0,6.1,160112671.0
Gilbert Films,1781.0,6.833333333333333,160062681.66666666
Sony Pictures Worldwide Acquisitions (SPWA),900.5,6.0,158220989.5
Scholastic Entertainment,1022.0,6.2,158162788.0
Pacific Standard,2547.6666666666665,6.766666666666667,157837368.33333334
Reliance Entertainment,1461.5833333333333,6.4750000000000005,157312463.5
Newman/Tooley Films,1657.0,6.3,157172522.5
Michael De Luca Productions,1312.4444444444443,5.588888888888889,157145960.7777778
Blind Man Productions,1830.0,6.7,157100845.0
Overbrook Films,1411.0,5.9,156974557.0
Wendy Finerman Productions,1011.0,7.0,156835339.0
